feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
D_69_std,58.0,33.0,38.0,38.0,34.0,40.2
D_44_std,58.0,38.0,32.0,38.0,35.0,40.2
B_14_mean,45.0,40.0,42.0,43.0,31.0,40.2
D_54_last,30.0,44.0,40.0,46.0,39.0,39.8
D_59_min,49.0,33.0,42.0,36.0,39.0,39.8
B_14_min,55.0,33.0,32.0,36.0,43.0,39.8
D_128_last,38.0,38.0,42.0,37.0,44.0,39.8
D_144_mean,45.0,43.0,44.0,33.0,33.0,39.6
R_3_max,37.0,41.0,45.0,43.0,32.0,39.6
D_43_min,50.0,35.0,39.0,31.0,41.0,39.2
D_115_last,49.0,39.0,38.0,41.0,28.0,39.0
D_39_mean,36.0,47.0,36.0,33.0,43.0,39.0
R_11_last,34.0,46.0,39.0,37.0,39.0,39.0
B_17_max,52.0,33.0,25.0,41.0,43.0,38.8
B_16_std,36.0,35.0,40.0,37.0,46.0,38.8
D_58_max,46.0,39.0,40.0,33.0,34.0,38.4
D_53_std,38.0,47.0,36.0,36.0,34.0,38.2
B_8_last,41.0,44.0,40.0,29.0,37.0,38.2
D_144_min,40.0,28.0,28.0,43.0,51.0,38.0
D_69_min,45.0,38.0,42.0,26.0,39.0,38.0
D_128_max,38.0,43.0,47.0,29.0,32.0,37.8
B_3_mean,42.0,32.0,34.0,37.0,44.0,37.8
S_7_mean,44.0,42.0,32.0,34.0,37.0,37.8
R_3_last,45.0,41.0,28.0,33.0,42.0,37.8
D_46_min,48.0,32.0,38.0,29.0,42.0,37.8
B_7_min,57.0,41.0,29.0,28.0,34.0,37.8
B_26_std,44.0,28.0,29.0,54.0,33.0,37.6
D_74_mean,37.0,33.0,36.0,33.0,48.0,37.4
B_29_std,42.0,44.0,37.0,28.0,36.0,37.4
B_11_mean,46.0,33.0,31.0,30.0,47.0,37.4
D_118_last,42.0,40.0,26.0,43.0,35.0,37.2
D_58_min,42.0,35.0,39.0,33.0,37.0,37.2
S_3_mean,35.0,33.0,36.0,37.0,45.0,37.2
D_72_mean,45.0,39.0,29.0,35.0,35.0,36.6
D_124_mean,41.0,35.0,27.0,44.0,36.0,36.6
B_28_max,40.0,34.0,32.0,33.0,44.0,36.6
